time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY	Delta8LogC_me	Measurement_Error	MrkvState
0.0	-0.0004475660402661896	0.001068601711665354	0.0004451921894551708	5.101865123405754	0.9955793060550246	0.011431358329697508	0.039137429108720714	0.007989891101674376	0.0017596457325301117	7.0
1.0	-0.0060280744167322264	-0.0004666155086484325	-0.001570863873900645	5.126278054755398	0.9983145386213296	0.010756621613597792	0.024180755735993095	0.010237957091653038	-0.0038018131755536795	6.0
2.0	0.002564235739815554	-0.0012169524680305244	0.004098940419999454	5.126869057010805	0.9999951060739193	0.006511585711433052	0.020446383402729286	0.006767778211781636	-2.0624967707606584e-05	6.0
3.0	0.0011086323027652834	-0.00044053080748088225	0.0025627269385218587	5.1181437532377405	0.9983145386213296	0.005600863698041067	0.025092998480873475	0.005244255747912541	0.0015285381425385598	6.0
4.0	-0.004741967944518963	-0.001441959467568199	-0.0013238782285208417	5.172797672212078	0.9983145386213296	0.0063163894360130785	0.02316375569138253	0.007235839086809082	-0.0017714703344122009	5.0
5.0	0.0008716142682826111	-0.0015530366368200627	0.0015868695661566262	5.152384109407365	1.0016785742323322	0.0011410332149345975	0.0042102692971609165	0.0006786489402473145	0.0006531805706904652	6.0
6.0	0.0010576067161501418	0.0014437488907974028	0.007400862028817234	5.185583278144398	0.9955793060550246	-0.0008726513701654004	0.020875644143382097	0.003312056938704025	0.00026703839604320804	6.0
7.0	-0.002189287218755817	-0.0019328060995232044	-0.018903298172996998	5.221675726675569	0.9955793060550246	-0.004539550385608548	-0.00570344913246814	-0.004930589240913649	1.0557276810590573e-05	5.0
8.0	-0.006132648704634966	-0.005692560396624788	-0.004373526209226167	5.240909057248967	1.0016785742323322	-0.01130071249389869	-0.010522167531149478	-0.003936583004693503	-0.00042953103119958396	4.0
9.0	0.0006349527547561129	-0.000859858697787444	0.026400422093732175	5.274688336533176	1.0044324750173943	-0.011693955683037702	0.017449118436483342	-0.009133843511759165	0.0010652804213439784	5.0
10.0	0.002530974580050735	0.0006366830627908132	-0.006907374515042176	5.328230086850701	0.9999951060739193	-0.009840320152216364	0.0064428035014417115	-0.014403415548166376	0.0029595719386038906	5.0
11.0	-0.00679188992629888	-0.0014581762199121356	-0.005308244799190322	5.42035829284589	0.9999951060739193	-0.010857965564647618	-0.001428168236270469	-0.013598426488656931	-0.0023741417677828488	4.0
12.0	-0.001054806943424011	-0.005958588415373223	-0.014239807285624989	5.471114904721546	0.9983145386213296	-0.015374594512452641	-0.014344097293374616	-0.02032371781835668	0.002529639704166361	4.0
13.0	-0.0052536748738556335	-0.003286484294018732	0.004297610378448682	5.523900676835872	0.9955793060550246	-0.01710804216965131	-0.01163335648108256	-0.018510473313128988	0.0005624491243294658	4.0
14.0	-0.004989213873309466	-0.005521840277328022	-0.017970442283060713	5.594897771890233	0.9955793060550246	-0.024073631337776735	-0.03700466079296051	-0.02622409164264107	0.0010950755283480186	3.0
15.0	-0.01362281032193835	-0.00973159887569211	-0.007984459278801134	5.630630286214662	0.9999951060739193	-0.03187242411394564	-0.026085821898764645	-0.03400150231543223	-0.00279613591789822	3.0
16.0	-0.0007135986327136482	-0.003842182504460341	0.022806621006393007	5.736427621867034	0.9983145386213296	-0.030022046221781194	0.0010943253168545289	-0.03431781071985657	0.00033244795384846976	3.0
17.0	-0.0010044570730156008	-0.00432409354155891	-0.010021405979656912	5.848767124100179	1.0044324750173943	-0.03348628106555266	-0.035327502756534554	-0.038223936494474996	0.003652084422391784	2.0
18.0	-0.014266791109830677	-0.007958296912727838	-0.012529694225195138	5.940445618757508	1.0016785742323322	-0.04208126104107131	-0.04094982246668752	-0.03461830883248764	-0.002656409774711059	2.0
19.0	-0.008163288099092964	-0.00595432191040347	0.0035702878894154112	6.0384951395595134	0.9955793060550246	-0.046577406731562646	-0.03207128977808178	-0.045291871105423286	-0.004865375963400553	3.0
20.0	-0.002235252833060062	-0.002811788035735223	-0.008481151336417553	6.15539983178687	0.9955793060550246	-0.043430606351924646	-0.02631263382887435	-0.03748718300461444	-0.004288840760725392	2.0
21.0	-0.0008942230734666975	-0.005837618553951512	-0.016046449874365133	6.2156180573714614	0.9955793060550246	-0.045981740611857426	-0.04665669408168816	-0.04283719927967444	0.000654554719759424	2.0
22.0	0.0009386887681599523	-0.004273974389188221	-0.0008134819507453002	6.28580951665413	1.0016785742323322	-0.04473387472371763	-0.02949973374937275	-0.04362922947981576	0.0058672178771075984	2.0
23.0	-0.0019715776309073355	0.00113126635920556	0.026001601077647957	6.386921570137833	1.0044324750173943	-0.03387100948881996	0.004486326607076339	-0.02921168911387171	0.002764373886994702	3.0
24.0	0.005246419914278395	0.0038960041246191377	-0.010700832945059599	6.476717292965765	0.9983145386213296	-0.026132822859740477	-0.029021127344376264	-0.028478125026690906	0.0041147896766539575	4.0
25.0	0.004984734411859485	0.008855608776064994	-0.002225258086509309	6.493266300991682	0.9999951060739193	-0.012953120542116572	-0.021224979451228664	-0.007530043319049214	0.00024391531244844926	5.0
26.0	0.012641113951596398	0.009445841971961695	0.010219270351730217	6.559956125531796	1.0044324750173943	0.004451018342572961	0.0015239851256966912	0.004637399906317646	0.003439187292083152	5.0
27.0	0.0019923558311682812	0.0060988357203570695	-0.007702379280556939	6.65008599187929	1.0044324750173943	0.0165041759733335	-0.00974868204427566	0.014310489444957268	-0.0006672925971056326	4.0
28.0	0.004292611764504392	0.002116785901807673	0.006109571670422529	6.643640090448673	1.0016785742323322	0.021432749910876396	0.004842040962564423	0.020251222712612777	0.0015085332655910865	5.0
29.0	0.002689007891017031	0.004855163660718503	0.005399806792302956	6.747163738513128	0.9983145386213296	0.03212553212554641	0.026288297629232512	0.04091148603721523	-0.0006576225041103911	4.0
30.0	-0.0008269729302608428	-0.00013324959993789992	-0.00865760981434262	6.780012028287963	0.9983145386213296	0.036266256914796735	0.01844416976563519	0.037168223294949024	-0.001351345834433329	4.0
31.0	0.000407997675299622	-0.0012698215976990543	-0.0014038955040206746	6.8735773036347485	1.0016785742323322	0.03386516895789212	-0.008961326816033439	0.03179926857113315	0.0003264734385653467	3.0
32.0	-0.005606421796034114	-0.004108599422810298	-0.0016179071248715177	6.863525593255724	1.0044324750173943	0.025860565410462683	0.00012159900415464192	0.02844352653133584	-0.001171348934658473	4.0
33.0	0.007082783609659762	0.002692482133011015	0.010923431003435747	6.864966680395972	0.9999951060739193	0.019697438767408704	0.013270288094099698	0.016878942072561475	0.003218952541990278	5.0
34.0	0.0038470068845036787	0.006586210549661908	-0.007817117516315836	6.856059011356101	1.0016785742323322	0.016837807345108917	-0.004766099773946354	0.007051947881678712	0.0004797488768320488	5.0
35.0	0.004375415157419911	0.003870614196845555	-0.0007987529488124815	6.8809775599506136	0.9983145386213296	0.014609585821597403	0.0021375265577981035	0.015085473642471939	0.0009845498374064056	5.0
36.0	0.00090472106398376	0.0027198745153387063	-0.004844638476301212	6.885894495844546	0.9983145386213296	0.015212674435128436	-0.008816683588925638	0.015935476023585478	-0.0008306036139485427	5.0
37.0	0.004073398607287913	0.00015176878385411013	-0.0032934328716918817	6.881453522915924	1.0016785742323322	0.010509279558264042	-0.017509923252920476	0.00400012412938186	0.003091026209485261	5.0
38.0	-0.007546536003392133	-0.0026548039761217085	-0.005219416935678473	6.907923669799626	1.0016785742323322	0.007987725182080234	-0.01407173037425633	0.005297786132302168	-0.0018007058177851674	4.0
39.0	-0.0002655540395867656	-0.0036904843532397716	0.011852481480153484	6.924534543336224	1.0016785742323322	0.005567062426539517	-0.000815353390082171	0.008670618435207847	0.0016242244958678427	4.0
40.0	-0.011833380421549126	-0.009345981907521145	-0.023885252356114946	6.965448272268735	0.9999951060739193	0.00032967994182867	-0.0230826986213256	0.0013505328748910223	-0.0008631740181601436	3.0
41.0	-0.011903623784378495	-0.01045571364982335	-0.015179820349952598	6.967220462121429	0.9955793060550246	-0.012818515841005695	-0.04918594997471394	-0.00911892182357623	-0.0023110841527152867	3.0
42.0	-0.007199935417455276	-0.008307209341883837	-0.001488962050464157	6.94020854347599	1.0016785742323322	-0.02771193573255144	-0.04285779450886226	-0.022334082389185928	-0.0012038102282867248	3.0
43.0	-0.004913306368025689	-0.004137755507000896	0.017442730903328388	6.969738166585293	0.9955793060550246	-0.03572030543639789	-0.024616310656721395	-0.035341766818654106	-0.0019793610893115185	3.0
44.0	-0.006306305990975531	-0.0077624132091789685	-0.026840050407228706	7.036178110734934	0.9955793060550246	-0.046202593160915566	-0.04661172258764889	-0.05019300018313169	-0.0005232538711080809	2.0
45.0	-0.009365151938148167	-0.009054092613881461	0.0032056289173452573	7.083977127669124	0.9983145386213296	-0.055408454558651135	-0.040112660798611754	-0.05525203405364677	-0.000834313195374788	2.0
46.0	-0.01801302506360616	-0.01961530225054069	-0.02150549679393432	7.105191453715633	0.9983145386213296	-0.07236895283307011	-0.0563987406568676	-0.06574430422876798	0.0007679639915597421	2.0
47.0	-0.0044477878762662175	-0.005070146428753985	0.002468665747719992	7.107309059234465	0.9983145386213296	-0.07374861490858434	-0.06578255638930108	-0.07804168180296756	0.0013903225440475091	3.0
48.0	-0.0013890967349851208	0.00036389189695629903	0.008208922357098483	7.182488664270379	1.0044324750173943	-0.06403874110410689	-0.03368838167608766	-0.06421509635647993	-0.0003626660878939125	3.0
